n,k,repetition,centers_compromised,expected_result,actual_result,matches_expected,time_seconds
10,3,9,3,Decrypt,Decrypt,True,0.0025237999980163295
10,3,9,4,Decrypt,Decrypt,True,0.003633500000432832
10,3,9,5,Decrypt,Decrypt,True,0.004713900001661386
10,3,9,6,Decrypt,Decrypt,True,0.006293899998127017
10,3,9,7,Decrypt,Decrypt,True,0.00770830000328715
10,3,9,8,Decrypt,Decrypt,True,0.009497499999270076
10,3,9,9,Decrypt,Decrypt,True,0.011232700002437923
10,3,9,10,Decrypt,Decrypt,True,0.01383939999868744
10,3,10,0,Fail,Fail,True,2.0000006770715117e-06
10,3,10,1,Fail,Fail,True,0.0012115999998059124
10,3,10,2,Fail,Fail,True,0.003825900002993876
10,3,10,3,Decrypt,Decrypt,True,0.004174699999566656
10,3,10,4,Decrypt,Decrypt,True,0.0037308999999368098
10,3,10,5,Decrypt,Decrypt,True,0.005113799998071045
10,3,10,6,Decrypt,Decrypt,True,0.006688499997835606
10,3,10,7,Decrypt,Decrypt,True,0.007995100000698585
10,3,10,8,Decrypt,Decrypt,True,0.00954009999986738
10,3,10,9,Decrypt,Decrypt,True,0.011914399998204317
10,3,10,10,Decrypt,Decrypt,True,0.014065600000321865
10,5,1,0,Fail,Fail,True,5.000001692678779e-07
10,5,1,1,Fail,Fail,True,0.0006060999985493254
10,5,1,2,Fail,Fail,True,0.0014909000019542873
10,5,1,3,Fail,Fail,True,0.002513600000384031
10,5,1,4,Fail,Fail,True,0.003588899999158457
10,5,1,5,Decrypt,Decrypt,True,0.004844299997785129
10,5,1,6,Decrypt,Decrypt,True,0.006327200000669109
10,5,1,7,Decrypt,Decrypt,True,0.007925400001113303
10,5,1,8,Decrypt,Decrypt,True,0.009643500001402572
10,5,1,9,Decrypt,Decrypt,True,0.012287400000786874
10,5,1,10,Decrypt,Decrypt,True,0.013344099999812897
10,5,2,0,Fail,Fail,True,3.9999940781854093e-07
10,5,2,1,Fail,Fail,True,0.0005997000007482711
10,5,2,2,Fail,Fail,True,0.0015079000004334375
10,5,2,3,Fail,Fail,True,0.0024431999991065823
10,5,2,4,Fail,Fail,True,0.004075400000147056
10,5,2,5,Decrypt,Decrypt,True,0.004932799998641713
10,5,2,6,Decrypt,Decrypt,True,0.006274199997278629
10,5,2,7,Decrypt,Decrypt,True,0.007878800002799835
10,5,2,8,Decrypt,Decrypt,True,0.009517399998003384
10,5,2,9,Decrypt,Decrypt,True,0.011285900000075344
10,5,2,10,Decrypt,Decrypt,True,0.013950000000477303
10,5,3,0,Fail,Fail,True,3.1999989005271345e-06
10,5,3,1,Fail,Fail,True,0.0016037999994296115
10,5,3,2,Fail,Fail,True,0.0035126999973726925
10,5,3,3,Fail,Fail,True,0.0025963999978557695
10,5,3,4,Fail,Fail,True,0.003918999998859363
10,5,3,5,Decrypt,Decrypt,True,0.004927199999656295
10,5,3,6,Decrypt,Decrypt,True,0.006340799998724833
10,5,3,7,Decrypt,Decrypt,True,0.007763999998132931
10,5,3,8,Decrypt,Decrypt,True,0.009560099999362137
10,5,3,9,Decrypt,Decrypt,True,0.011353300000337185
10,5,3,10,Decrypt,Decrypt,True,0.0133988000015961
10,5,4,0,Fail,Fail,True,5.000001692678779e-07
10,5,4,1,Fail,Fail,True,0.0006040999978722539
10,5,4,2,Fail,Fail,True,0.0015180000009422656
10,5,4,3,Fail,Fail,True,0.002508300000044983
