2026-09-01T02:21:43.233781+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8,9,7.801924
2026-09-01T02:21:53.500356+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8,10,8.11818
2026-09-01T02:22:11.728105+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,1,16.047601
2026-09-01T02:22:29.883808+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,2,16.05317
2026-09-01T02:22:47.785259+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,3,15.802293
2026-09-01T02:23:06.013866+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,4,16.111587
2026-09-01T02:23:24.088638+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,5,15.944341
2026-09-01T02:23:42.251973+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,6,15.99483
2026-09-01T02:24:00.346204+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,7,15.988457
2026-09-01T02:24:18.429443+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,8,15.990429
2026-09-01T02:24:36.574044+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,9,15.967384
2026-09-01T02:24:54.747836+00:00,6fa1c63,Windows,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",16,10,16.087414
